Título,Endereço,Metro_m2,N_Quartos,N_Banheiros,N_Garagens,Valor_Mensal
"Apartamento com 3 Quartos para Aluguel, 96m²","Avenida Maria Emília Alves dos Santos de Ângelis, 121 - Parque Prado, Campinas - SP",96,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 2.800
                      /Mês"
Apartamento com  Quarto para Venda/Aluguel 37m²,"Avenida Francisco Glicério, 1745 - Centro, Campinas - SP",37,"1
              

                Quarto","1
              

                Banheiro","--
                

                  Vaga","R$ 780
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Reinaldo Laubenstein, 271 - Jardim Chapadão, Campinas - SP",70,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 950
                      /Mês"
"Apartamento com  Quarto para Aluguel, 50m²","Botafogo, Campinas - SP",50,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 900
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 54m²","Rua Bernardino Martins Filho - Jardim das Bandeiras, Campinas - SP",54,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 750
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 87m²","Rua Alberto Faria, 150 - Jardim Brasil, Campinas - SP",87,"2
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 4.500
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 65m²","Vila Industrial, Campinas - SP",65,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 900
                      /Mês"
"Apartamento com  Quarto para Aluguel, 50m²","Rua Doutor Guilherme da Silva, 172 - Cambuí, Campinas - SP",50,"1
              

                Quarto","2
              

                Banheiros","1
                

                  Vaga","R$ 850
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 52m²","Conjunto Habitacional Edivaldo Antônio Orsi, Campinas - SP",52,"2
              

                Quartos","1
              

                Banheiro","--
                

                  Vaga","R$ 660
                      /Mês

Preço abaixo do mercado"
"Apartamento com 2 Quartos para Aluguel, 50m²","Avenida São José dos Campos, 3175 - Loteamento Parque São Martinho, Campinas - SP",50,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.000
                      /Mês

Preço abaixo do mercado"
"Apartamento com  Quarto para Aluguel, 45m²","Rua Dez de Setembro - Centro, Campinas - SP",45,"1
              

                Quarto","2
              

                Banheiros","1
                

                  Vaga","R$ 1.400
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 60m²","Rua Santa Rita do Passa Quatro, 85 - Jardim Nova Europa, Campinas - SP",60,"3
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 1.800
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 151m²","Praça Quinze de Novembro, 84 - Cambuí, Campinas - SP",151,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 2.800
                      /Mês

Preço abaixo do mercado"
Apartamento com 3 Quartos para Venda/Aluguel 52m²,"Avenida Washington Luís, 4300 - Vila Marieta, Campinas - SP",52,"3
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.500
                      /Mês"
Apartamento com 2 Quartos para Venda/Aluguel 52m²,"Residencial Cosmos, Campinas - SP",52,"2
              

                Quartos","1
              

                Banheiro","--
                

                  Vaga","R$ 800
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 91m²","Avenida Dermival Bernardes Siqueira, 2175 - Swiss Park, Campinas - SP",91,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 5.000
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 156m²","Rua Jasmim, 880 - Chácara Primavera, Campinas - SP",156,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 4.000
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 87m²","Rua Henrique Schroeder, 60 - Taquaral, Campinas - SP",87,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 4.000
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 100m²","Rua Santa Maria Rosselo, 905 - Mansões Santo Antônio, Campinas - SP",100,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 3.600
                      /Mês"
Apartamento com 3 Quartos para Venda/Aluguel 82m²,"Avenida Governador Pedro de Toledo, 2300 - Bonfim, Campinas - SP",82,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 2.300
                      /Mês"
